Homepage,Country,Language,Language Default,Country (Long),Language (Long)
https://www.ariat.com/,us,en,Y,United States of America,English
https://www.ariat.com/at/de/,at,de,,Austria,German
https://www.ariat.com/be/en/,be,en,,Belgium,English
https://www.ariat.com/ch/de/,ch,de,,Switzerland,German
https://www.ariat.com/de/de/,de,de,Y,Germany,German
https://www.ariat.com/dk/en/,dk,en,,Denmark,English
https://www.ariat.com/fi/en/,fi,en,,Finland,English
https://www.ariat.com/fr/fr/,fr,fr,Y,France,French
https://www.ariat.com/gb/en/,gb,en,,United Kingdom of Great Britain and Northern Ireland,English
https://www.ariat.com/ie/en/,ie,en,,Ireland,English
https://www.ariat.com/it/en/,it,en,,Italy,English
https://www.ariat.com/nl/en/,nl,en,,"Netherlands, Kingdom of the",English
https://www.ariat.com/no/en/,no,en,,Norway,English
https://www.ariat.com/se/en/,se,en,,Sweden,English